name,usage,crop,problem,problem_notes,faostat_name,faostat_definition
NPK 16 16 16,,Horticulture,1,,,
NPK 16 18 12,,Tobacco,,,"Tobacco, unmanufactured","Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
NPK 16 18 12,,Cotton,1,"seed cotton, cotton lint??",,
NPK 16 21 10 + 4MgO,,,,,,
NPK 17 7 17,,,,,,
NPK 17 7 16 + 2MgO + TE,,,,,,
NPK 17 8 25 ,,,,,,
NPK 17 10 9 + 5MgO + TE,,,,,,
NPK 17 12 11 +3MgO + TE,,,,,,
NPK 17 17 14,,Wheat,,,Wheat,"Triticum spp.: common (T. aestivum) durum (T. durum) spelt (T. spelta). Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. Used mainly for human food."
NPK 17 17 17,,Sugarcane,,,Sugar cane,"Saccharum officinarum. In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
NPK 17 17 17,,Coffee,1,,"Coffee, green","Coffea spp. (arabica, robusta, liberica). Raw coffee in all forms."
NPK 17 17 17,,Potato,,,Potatoes,"Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere."
NPK 17 17 17,,Pea,1,,,
NPK 17 17 17,,Pinapple,1,A. sativ. Trade figures may include dried pineapples.,Pineapples,Ananas comosus
