"ADM2_CODE","ADM2_NAME","EVI Index","Precipitation Index"
68768,"Administrative unit not available",821.3202515,8.170719147
68767,"Administrative unit not available",821.3202515,8.170719147
144974,"Al Dhihar",1238.289429,10.16666698
144975,"Al Mashannah",1364.772705,11.18181801
144976,"Ibb",1482.369263,11.22439003
144977,"Lawdar",756.1028442,5.961571217
144978,"Al Wahdah",608.3636475,5
144979,"As Sabain",729.8204956,5.03125
144980,"Assafi'yah",601.5714111,5.5
144981,"At Tahrir",671.666687,5
144982,"Ath'thaorah",775.7142944,4.565217495
144983,"Az'zal",574.0769043,5.5
144984,"Ma'ain",657.7272949,5.424242496
144985,"Old City",525,5
144986,"Shu'aub",644.3684082,4.25
144987,"Al Bayda",716.2696533,7.382624626
144988,"Al Bayda City",697.4500122,8
144989,"Al Malagim",828.6906738,5.449086189
144990,"As Sawadiyah",832.0284424,5.239436626
144991,"Al Misrakh",1287.522583,12.32352924
144992,"Al Mudhaffar",917.5625,8.058823586
144993,"Al Qahirah",828.916687,7.909090996
144994,"At Ta'iziyah",1077.199219,7.909090996
144995,"Mashra'a Wa Hadnan",1456.421021,15
144996,"Sabir Al Mawadim",1132.509888,11.5363636
144997,"Salh",929.2727051,8.476190567
144998,"Ash Shaghadirah",1271.690063,4.396103859
144999,"Bani Al Awam",1390.73584,6.903225899
145000,"Hajjah",1030.75,5.975903511
145001,"Hajjah City",1045.78186,6.884615421
145002,"Mabyan",1043.143433,5.490991116
145003,"Najrah",1300.326538,5.644444466
145004,"Qarah",821.171936,7.207100391
145005,"Wadhrah",922.6451416,4.172413826
145006,"Washhah",1204.772583,5.714285851
145007,"Al Hali",707.7561035,4.486956596
145008,"Al Hawak",848.7733154,4.15942049
145010,"Al Munirah",743.5158081,2.215877533
145011,"As Salif",482.0851135,3.370370388
145012,"Al Mukalla",1053.491577,6.789990425
145013,"Al Mukalla City",821.0942993,2.110192776
145014,"Brom Mayfa",696.8041382,3.41564703
145015,"Ghayl Ba Wazir",973.467041,5.777277946
145016,"Hidaybu",1730.515259,4.008075714
